BoothID,BoothName,ServiceID,ServiceName
1,Wina1,1,Airtel Money
1,Wina1,2,MTN Money
1,Wina1,3,Zamtel Money
1,Wina1,4,Zanaco
1,Wina1,5,FNB
2,Wina2,1,Airtel Money
2,Wina2,2,MTN Money
2,Wina2,3,Zamtel Money
2,Wina2,5,FNB
3,Wina3,1,Airtel Money
3,Wina3,2,MTN Money
3,Wina3,3,Zamtel Money
3,Wina3,4,Zanaco
3,Wina3,5,FNB
4,Wina4,1,Airtel Money
4,Wina4,2,MTN Money
4,Wina4,3,Zamtel Money
5,Wina5,1,Airtel Money
5,Wina5,2,MTN Money
5,Wina5,4,Zanaco
5,Wina5,5,FNB
6,Wina6,1,Airtel Money
6,Wina6,2,MTN Money
6,Wina6,3,Zamtel Money
