TransactionID,MobileBooth,Location,Service,RevenuePerKwanch,TransactionAmount
WB0000001,Wina1,Lusaka CPD,Airtel Money,0.05,964
WB0000002,Wina1,Lusaka CPD,MTN Money,0.06,220
WB0000003,Wina2,Libala,MTN Money,0.06,582
WB0000004,Wina3,Kabwata,Zamtel Money,0.045,349
WB0000005,Wina4,Mandevu,Airtel Money,0.05,328
WB0000006,Wina3,Kabwata,MTN Money,0.06,192
WB0000007,Wina3,Kabwata,Zanaco,0.035,1519
WB0000008,Wina4,Mandevu,Zamtel Money,0.045,1113
WB0000009,Wina1,Lusaka CPD,FNB,0.04,1999
WB0000010,Wina3,Kabwata,Airtel Money,0.05,3810
WB0000011,Wina6,Matero East,Zamtel Money,0.045,3270
WB0000012,Wina3,Kabwata,Zanaco,0.035,1092
WB0000013,Wina2,Libala,Airtel Money,0.05,1056
WB0000014,Wina3,Kabwata,Airtel Money,0.05,509
WB0000015,Wina5,Woodlands,FNB,0.04,34
WB0000016,Wina2,Libala,MTN Money,0.06,1658
WB0000017,Wina5,Woodlands,Zamtel Money,0.045,2167
WB0000018,Wina3,Kabwata,Airtel Money,0.05,2594
WB0000019,Wina4,Mandevu,Airtel Money,0.05,3656
WB0000020,Wina3,Kabwata,Airtel Money,0.05,4030
WB0000021,Wina3,Kabwata,Zanaco,0.035,989
WB0000022,Wina3,Kabwata,Airtel Money,0.05,4081
WB0000023,Wina4,Mandevu,Airtel Money,0.05,925
WB0000024,Wina2,Libala,MTN Money,0.06,2312
WB0000025,Wina3,Kabwata,Zanaco,0.035,3280
WB0000026,Wina4,Mandevu,Airtel Money,0.05,90
WB0000027,Wina5,Woodlands,FNB,0.04,2556
WB0000028,Wina3,Kabwata,Zanaco,0.035,673
WB0000029,Wina4,Mandevu,MTN Money,0.06,4185
WB0000030,Wina1,Lusaka CPD,Zanaco,0.035,412
WB0000031,Wina1,Lusaka CPD,MTN Money,0.06,310
WB0000032,Wina2,Libala,MTN Money,0.06,4248
WB0000033,Wina3,Kabwata,Airtel Money,0.05,4105
WB0000034,Wina4,Mandevu,Airtel Money,0.05,1147
WB0000035,Wina3,Kabwata,Zamtel Money,0.045,1815
WB0000036,Wina3,Kabwata,Zanaco,0.035,1653
WB0000037,Wina4,Mandevu,Airtel Money,0.05,1045
WB0000038,Wina1,Lusaka CPD,FNB,0.04,4364
WB0000039,Wina3,Kabwata,MTN Money,0.06,2822
WB0000040,Wina6,Matero East,Airtel Money,0.05,2046
WB0000041,Wina3,Kabwata,Zamtel Money,0.045,1985
WB0000042,Wina2,Libala,MTN Money,0.06,3023
WB0000043,Wina3,Kabwata,Airtel Money,0.05,3728
WB0000044,Wina5,Woodlands,MTN Money,0.06,58
WB0000045,Wina2,Libala,Airtel Money,0.05,2744
WB0000046,Wina5,Woodlands,FNB,0.04,1654
WB0000047,Wina3,Kabwata,Airtel Money,0.05,1331
WB0000048,Wina4,Mandevu,Airtel Money,0.05,801
WB0000049,Wina3,Kabwata,MTN Money,0.06,967
WB0000050,Wina3,Kabwata,MTN Money,0.06,1988
WB0000051,Wina3,Kabwata,Airtel Money,0.05,3646
WB0000052,Wina4,Mandevu,Airtel Money,0.05,54
WB0000053,Wina2,Libala,Zamtel Money,0.045,2121
WB0000054,Wina3,Kabwata,Zanaco,0.035,564
WB0000055,Wina4,Mandevu,Airtel Money,0.05,1011
WB0000056,Wina5,Woodlands,FNB,0.04,2950
WB0000057,Wina3,Kabwata,Zanaco,0.035,57
WB0000058,Wina4,Mandevu,Airtel Money,0.05,2382
WB0000059,Wina1,Lusaka CPD,MTN Money,0.06,349
WB0000060,Wina1,Lusaka CPD,Airtel Money,0.05,2479
WB0000061,Wina2,Libala,Airtel Money,0.05,1537
WB0000062,Wina3,Kabwata,Zamtel Money,0.045,2802
WB0000063,Wina4,Mandevu,Airtel Money,0.05,1290
WB0000064,Wina3,Kabwata,MTN Money,0.06,4331
WB0000065,Wina3,Kabwata,Zanaco,0.035,1338
WB0000066,Wina4,Mandevu,Airtel Money,0.05,1477
WB0000067,Wina1,Lusaka CPD,Airtel Money,0.05,3430
WB0000068,Wina3,Kabwata,MTN Money,0.06,451
WB0000069,Wina6,Matero East,Airtel Money,0.05,80
WB0000070,Wina3,Kabwata,Zanaco,0.035,2002
WB0000071,Wina2,Libala,Airtel Money,0.05,3235
WB0000072,Wina3,Kabwata,MTN Money,0.06,4156
WB0000073,Wina5,Woodlands,Airtel Money,0.05,22
WB0000074,Wina2,Libala,Airtel Money,0.05,2156
WB0000075,Wina5,Woodlands,MTN Money,0.06,2267
WB0000076,Wina3,Kabwata,Zamtel Money,0.045,2419
WB0000077,Wina4,Mandevu,Airtel Money,0.05,1691
WB0000078,Wina3,Kabwata,Airtel Money,0.05,2736
WB0000079,Wina3,Kabwata,MTN Money,0.06,4282
WB0000080,Wina3,Kabwata,Zamtel Money,0.045,2331
WB0000081,Wina4,Mandevu,Airtel Money,0.05,1405
WB0000082,Wina2,Libala,Airtel Money,0.05,945
WB0000083,Wina3,Kabwata,Zanaco,0.035,688
WB0000084,Wina4,Mandevu,Airtel Money,0.05,189
WB0000085,Wina5,Woodlands,FNB,0.04,3787
WB0000086,Wina3,Kabwata,Zanaco,0.035,3407
WB0000087,Wina4,Mandevu,Airtel Money,0.05,1105
WB0000088,Wina6,Matero East,Airtel Money,0.05,174
WB0000089,Wina2,Libala,MTN Money,0.06,1440
WB0000090,Wina6,Matero East,Airtel Money,0.05,3344
WB0000091,Wina2,Libala,Airtel Money,0.05,2676
WB0000092,Wina2,Libala,Airtel Money,0.05,812
WB0000093,Wina3,Kabwata,Zanaco,0.035,4224
WB0000094,Wina3,Kabwata,Airtel Money,0.05,592
WB0000095,Wina3,Kabwata,Airtel Money,0.05,1662
WB0000096,Wina2,Libala,Airtel Money,0.05,1915
WB0000097,Wina3,Kabwata,Airtel Money,0.05,1866
WB0000098,Wina6,Matero East,MTN Money,0.06,4320
WB0000099,Wina2,Libala,Airtel Money,0.05,228
WB0000100,Wina6,Matero East,Airtel Money,0.05,3318
WB0000101,Wina2,Libala,Airtel Money,0.05,3615
WB0000102,Wina2,Libala,Airtel Money,0.05,4156
WB0000103,Wina3,Kabwata,Zamtel Money,0.045,1401
WB0000104,Wina3,Kabwata,Airtel Money,0.05,2014
WB0000105,Wina3,Kabwata,MTN Money,0.06,3475
WB0000106,Wina2,Libala,MTN Money,0.06,2452
WB0000107,Wina3,Kabwata,Zanaco,0.035,1720
WB0000108,Wina2,Libala,Airtel Money,0.05,118
WB0000109,Wina3,Kabwata,MTN Money,0.06,779
WB0000110,Wina4,Mandevu,Airtel Money,0.05,1623
WB0000111,Wina3,Kabwata,Airtel Money,0.05,2679
WB0000112,Wina3,Kabwata,Zanaco,0.035,1976
WB0000113,Wina4,Mandevu,Airtel Money,0.05,974
WB0000114,Wina1,Lusaka CPD,Airtel Money,0.05,2911
WB0000115,Wina3,Kabwata,Zanaco,0.035,279
WB0000116,Wina6,Matero East,Airtel Money,0.05,3646
WB0000117,Wina3,Kabwata,MTN Money,0.06,855
WB0000118,Wina2,Libala,Airtel Money,0.05,1412
WB0000119,Wina3,Kabwata,Airtel Money,0.05,2137
WB0000120,Wina5,Woodlands,FNB,0.04,1800
WB0000121,Wina2,Libala,Airtel Money,0.05,1219
WB0000122,Wina5,Woodlands,FNB,0.04,3582
WB0000123,Wina3,Kabwata,Airtel Money,0.05,760
WB0000124,Wina4,Mandevu,MTN Money,0.06,2308
