TransactionID,BoothID,BoothName,Location,ServiceID,ServiceName,RevenuePerKwacha,TransactionAmount
WB0000001,1,Wina1,Lusaka CPD,1,Airtel Money,0.05,964
WB0000002,1,Wina1,Lusaka CPD,2,MTN Money,0.06,220
WB0000003,2,Wina2,Libala,2,MTN Money,0.06,582
WB0000004,3,Wina3,Kabwata,3,Zamtel Money,0.045,349
WB0000005,4,Wina4,Mandevu,1,Airtel Money,0.05,328
WB0000006,3,Wina3,Kabwata,2,MTN Money,0.06,192
WB0000007,3,Wina3,Kabwata,4,Zanaco,0.035,1519
WB0000008,4,Wina4,Mandevu,3,Zamtel Money,0.045,1113
WB0000009,1,Wina1,Lusaka CPD,5,FNB,0.04,1999
WB0000010,3,Wina3,Kabwata,1,Airtel Money,0.05,3810
WB0000011,6,Wina6,Matero East,3,Zamtel Money,0.045,3270
WB0000012,3,Wina3,Kabwata,4,Zanaco,0.035,1092
WB0000013,2,Wina2,Libala,1,Airtel Money,0.05,1056
WB0000014,3,Wina3,Kabwata,1,Airtel Money,0.05,509
WB0000015,5,Wina5,Woodlands,5,FNB,0.04,34
WB0000016,2,Wina2,Libala,2,MTN Money,0.06,1658
WB0000017,5,Wina5,Woodlands,3,Zamtel Money,0.045,2167
WB0000018,3,Wina3,Kabwata,1,Airtel Money,0.05,2594
WB0000019,4,Wina4,Mandevu,1,Airtel Money,0.05,3656
WB0000020,3,Wina3,Kabwata,1,Airtel Money,0.05,4030
WB0000021,3,Wina3,Kabwata,4,Zanaco,0.035,989
WB0000022,3,Wina3,Kabwata,1,Airtel Money,0.05,4081
WB0000023,4,Wina4,Mandevu,1,Airtel Money,0.05,925
WB0000024,2,Wina2,Libala,2,MTN Money,0.06,2312
WB0000025,3,Wina3,Kabwata,4,Zanaco,0.035,3280
WB0000026,4,Wina4,Mandevu,1,Airtel Money,0.05,90
WB0000027,5,Wina5,Woodlands,5,FNB,0.04,2556
WB0000028,3,Wina3,Kabwata,4,Zanaco,0.035,673
WB0000029,4,Wina4,Mandevu,2,MTN Money,0.06,4185
WB0000030,1,Wina1,Lusaka CPD,4,Zanaco,0.035,412
WB0000031,1,Wina1,Lusaka CPD,2,MTN Money,0.06,310
WB0000032,2,Wina2,Libala,2,MTN Money,0.06,4248
WB0000033,3,Wina3,Kabwata,1,Airtel Money,0.05,4105
WB0000034,4,Wina4,Mandevu,1,Airtel Money,0.05,1147
WB0000035,3,Wina3,Kabwata,3,Zamtel Money,0.045,1815
WB0000036,3,Wina3,Kabwata,4,Zanaco,0.035,1653
WB0000037,4,Wina4,Mandevu,1,Airtel Money,0.05,1045
